Model,Term,Coefficient,HC3_SE,t,p_value,CI95_low,CI95_high
Before PCA,Intercept,1.5263521468405266,1.4653950634024777,1.041597713108514,0.2975982293976962,-1.3457694005511187,4.398473694232171
Before PCA,Cancer_pct,-2.013268784142124,1.1982305522752106,-1.6802015107354022,0.0929181155201912,-4.361757511777075,0.3352199434928269
Before PCA,Infant_mortality_pct,0.15841478447590596,0.08080688212519202,1.9604120380548529,0.04994764995330621,3.620580755614444e-05,0.31679336314425577
Before PCA,Circulatory_pct,0.005831019238746626,0.14431075851678773,0.04040599120036017,0.9677694538644686,-0.2770128700358142,0.28867490851330746
Before PCA,Disability_pct,-0.048530473508526406,0.12389083852722328,-0.39171963064776993,0.6952653837450083,-0.2913520550363514,0.19429110801929858
Before PCA,Unemployment_pct,0.03653108962250412,0.14226883454121944,0.25677506771112263,0.7973524179812818,-0.242310702200774,0.31537288144578224
Before PCA,Year_centered,0.01313347453694913,0.015478942115095049,0.8484736514481425,0.3961742402980817,-0.017204694527417415,0.043471643601315675
Before PCA,Region_Karaganda,-0.019520917967054935,0.15848558365431542,-0.12317156877582915,0.9019712389373421,-0.33014695399832306,0.29110511806421313
Before PCA,Region_Pavlodar,-0.013398685370478114,0.13246201915868214,-0.10115114849961054,0.9194304755887424,-0.27301947224094975,0.24622210149999352
After PCA,Intercept,1.1021090050224431,0.03454371920968536,31.90475809314227,2.293673632150025e-223,1.0344045594793954,1.169813450565491
After PCA,PC1,0.06286072207819916,0.021414035101433984,2.935491689466303,0.0033301953170762916,0.02088998451571203,0.1048314596406863
After PCA,PC2,0.027005056677704156,0.05272318942631121,0.5122045341253091,0.6085078701475723,-0.07633049574794881,0.13034060910335712
After PCA,Year_centered,0.01806079102772916,0.010223853859493577,1.766534545186053,0.0773062112654296,-0.0019775943200790805,0.0380991763755374
After PCA,Region_Karaganda,-0.11254319105972126,0.10646152568010757,-1.0571254764644995,0.2904543255009333,-0.3212039471319182,0.09611756501247566
After PCA,Region_Pavlodar,-0.036987352791634204,0.04104929652966726,-0.9010471778707,0.3675632361477351,-0.11744249558048706,0.04346778999721865
